0.000,0.000,0.000,-2.000,0.000,0.000,0.000,0.000,0.000,0.000
0.020,0.047,0.038,-1.976,2.356,1.884,1.178,0.000,0.000,0.000
0.040,0.094,0.075,-1.953,2.353,1.876,1.177,-0.116,-0.372,-0.058
0.060,0.141,0.112,-1.929,2.349,1.861,1.174,-0.232,-0.742,-0.116
0.080,0.188,0.149,-1.906,2.342,1.839,1.171,-0.348,-1.109,-0.174
0.100,0.235,0.185,-1.883,2.333,1.810,1.166,-0.464,-1.472,-0.232
0.120,0.281,0.221,-1.859,2.321,1.773,1.161,-0.579,-1.829,-0.289
0.140,0.327,0.255,-1.836,2.307,1.730,1.154,-0.693,-2.179,-0.347
0.160,0.373,0.289,-1.813,2.291,1.679,1.145,-0.807,-2.521,-0.404
0.180,0.418,0.321,-1.791,2.273,1.622,1.136,-0.920,-2.852,-0.460
0.200,0.464,0.353,-1.768,2.252,1.559,1.126,-1.032,-3.172,-0.516
0.220,0.508,0.382,-1.746,2.229,1.489,1.115,-1.144,-3.480,-0.572
0.240,0.552,0.411,-1.724,2.204,1.414,1.102,-1.254,-3.773,-0.627
0.260,0.596,0.437,-1.702,2.177,1.333,1.088,-1.362,-4.052,-0.681
0.280,0.639,0.462,-1.681,2.147,1.246,1.074,-1.470,-4.315,-0.735
0.300,0.681,0.485,-1.660,2.116,1.155,1.058,-1.576,-4.561,-0.788
0.320,0.723,0.507,-1.639,2.082,1.059,1.041,-1.680,-4.789,-0.840
0.340,0.764,0.526,-1.618,2.047,0.959,1.023,-1.783,-4.998,-0.891
0.360,0.804,0.543,-1.598,2.009,0.856,1.004,-1.884,-5.188,-0.942
0.380,0.843,0.558,-1.578,1.969,0.748,0.985,-1.983,-5.356,-0.991
0.400,0.882,0.571,-1.559,1.928,0.638,0.964,-2.080,-5.504,-1.040
0.420,0.919,0.581,-1.540,1.884,0.526,0.942,-2.175,-5.630,-1.088
0.440,0.956,0.589,-1.522,1.839,0.411,0.919,-2.268,-5.734,-1.134
