0.000,0.000,1.500,-1
0.020,0.047,1.499,-1
0.040,0.094,1.497,-1
0.060,0.141,1.493,-1
0.080,0.188,1.488,-1
0.100,0.235,1.482,-1
0.120,0.281,1.473,-1
0.140,0.327,1.464,-1
0.160,0.373,1.453,-1
0.180,0.418,1.440,-1
0.200,0.464,1.427,-1
0.220,0.508,1.411,-1
0.240,0.552,1.395,-1
0.260,0.596,1.377,-1
0.280,0.639,1.357,-1
0.300,0.681,1.337,-1
0.320,0.723,1.314,-1
0.340,0.764,1.291,-1
0.360,0.804,1.266,-1
0.380,0.843,1.241,-1
0.400,0.882,1.214,-1
0.420,0.919,1.185,-1
0.440,0.956,1.156,-1
0.460,0.992,1.125,-1
0.480,1.027,1.093,-1
0.500,1.061,1.061,-1
0.520,1.093,1.027,-1
0.540,1.125,0.992,-1
0.560,1.156,0.956,-1
0.580,1.185,0.919,-1
0.600,1.214,0.882,-1
0.620,1.241,0.843,-1
0.640,1.266,0.804,-1
0.660,1.291,0.764,-1
0.680,1.314,0.723,-1
0.700,1.337,0.681,-1
0.720,1.357,0.639,-1
0.740,1.377,0.596,-1
0.760,1.395,0.552,-1
0.780,1.411,0.508,-1
0.800,1.427,0.464,-1
0.820,1.440,0.418,-1
0.840,1.453,0.373,-1
0.860,1.464,0.327,-1
0.880,1.473,0.281,-1
0.900,1.482,0.235,-1
0.920,1.488,0.188,-1
0.940,1.493,0.141,-1
0.960,1.497,0.094,-1
0.980,1.499,0.047,-1
1.000,1.500,-0.000,-1
1.020,1.499,-0.047,-1
1.040,1.497,-0.094,-1
1.060,1.493,-0.141,-1
1.080,1.488,-0.188,-1
1.100,1.482,-0.235,-1
1.120,1.473,-0.281,-1
1.140,1.464,-0.327,-1
1.160,1.453,-0.373,-1
1.180,1.440,-0.418,-1
1.200,1.427,-0.464,-1
1.220,1.411,-0.508,-1
1.240,1.395,-0.552,-1
1.260,1.377,-0.596,-1
1.280,1.357,-0.639,-1
1.300,1.337,-0.681,-1
1.320,1.314,-0.723,-1
1.340,1.291,-0.764,-1
1.360,1.266,-0.804,-1
1.380,1.241,-0.843,-1
